id do produto,tipo do produto,produto,valor de venda,valor de compra,status de entrega,loja que comprou,data da venda,quantidade comprada,moeda usada,cidade do envio,estado do envio,pais do envio,latitude,longitude,tipo de envio,canal de venda,preço distribuidora,preço loja 1,preço loja 2
32,ferramentas,martelo,136.4,129.85,cancelado,Loja B,2024-05-22,97,EUR,Paris,IL,France,48.8566,2.3522,expressa,loja,136.4,149.62,147.29
33,eletronico,televisão,108.55,104.02,cancelado,Loja C,2024-07-13,68,EUR,Berlim,BE,Germany,52.52,13.405,expressa,online,108.55,117.31,110.55
34,cozinha,geladeira,319.05,280.81,cancelado,Loja B,2024-03-09,3,BRL,São Paulo,SP,Brazil,-23.5505,-46.6333,padrão,loja,319.05,327.24,336.1
35,casa,cama,804.3,745.22,enviado,Loja B,2024-04-11,67,USD,Los Angeles,CA,United States,34.0522,-118.2437,padrão,loja,804.3,845.17,862.5
36,ferramentas,furadeira,1126.44,943.7,enviado,Loja B,2024-11-21,34,USD,Los Angeles,CA,United States,34.0522,-118.2437,transportadora própria,empresarial,1126.44,1153.6,1166.81
37,cozinha,batedeira,735.11,640.87,cancelado,Loja C,2024-03-19,31,BRL,Curitiba,PR,Brazil,-25.4284,-49.2733,padrão,online,735.11,795.52,781.26
38,ferramentas,furadeira,1011.98,995.51,enviado,Loja B,2024-05-19,48,USD,Nova York,NY,United States,40.7128,-74.006,padrão,empresarial,1011.98,1070.55,1106.99
39,ferramentas,martelo,606.31,506.45,enviado,Loja C,2024-11-21,88,BRL,Rio de Janeiro,RJ,Brazil,-22.9068,-43.1729,padrão,online,606.31,646.28,666.04
40,cozinha,geladeira,74.4,66.46,enviado,Loja B,2024-01-09,65,BRL,São Paulo,SP,Brazil,-23.5505,-46.6333,padrão,loja,74.4,77.29,76.21
41,eletronico,smartphone,290.05,255.08,cancelado,Loja B,2024-09-27,67,EUR,Paris,IL,France,48.8566,2.3522,transportadora própria,empresarial,290.05,314.47,303.65
42,casa,cadeira,172.06,151.09,pendente,Loja B,2024-09-18,73,USD,Los Angeles,CA,United States,34.0522,-118.2437,transportadora própria,empresarial,172.06,182.81,174.04
43,roupa,calça,623.38,580.93,enviado,Loja B,2024-11-02,29,BRL,Curitiba,PR,Brazil,-25.4284,-49.2733,transportadora própria,loja,623.38,683.73,669.59
44,casa,cama,668.2,582.42,enviado,Loja A,2024-11-05,37,USD,Los Angeles,CA,United States,34.0522,-118.2437,transportadora própria,empresarial,668.2,707.57,728.03
45,roupa,casaco,159.99,135.07,pendente,Loja B,2024-12-22,20,USD,Los Angeles,CA,United States,34.0522,-118.2437,expressa,loja,159.99,166.72,171.47
46,cozinha,batedeira,243.87,236.11,pendente,Loja B,2024-07-08,16,EUR,Berlim,BE,Germany,52.52,13.405,padrão,online,243.87,266.52,261.97
47,ferramentas,furadeira,736.0,618.58,enviado,Loja C,2024-02-08,55,EUR,Paris,IL,France,48.8566,2.3522,padrão,online,736.0,765.86,790.67
48,cozinha,liquidificador,73.89,66.12,cancelado,Loja A,2024-05-04,41,EUR,Paris,IL,France,48.8566,2.3522,expressa,loja,73.89,81.16,75.6
49,casa,mesa,597.08,508.99,pendente,Loja A,2024-06-16,89,BRL,São Paulo,SP,Brazil,-23.5505,-46.6333,transportadora própria,online,597.08,639.68,611.43
50,roupa,meias,668.55,627.29,pendente,Loja A,2024-04-24,79,BRL,Rio de Janeiro,RJ,Brazil,-22.9068,-43.1729,transportadora própria,loja,668.55,696.44,730.5
